enumerator,village,gender_hh,widow_single_mother,pwd,pwd_involved_planning,age_group,livelihood,livelihood_other,income_band,aware_hfhk,primary_water_source,primary_water_other,water_year_round,pay_for_water,pay_frequency_20l,water_cost_affordable,pwd_ease_use,pwd_barriers,latrine_type,latrine_other,hfhk_latrine_satisfaction,latrine_flood_function,latrine_issue,latrine_safe_heavy_rain,all_members_use_latrine,who_not_use_latrine,handwashing_station,hws_components,hws_has_soap_and_water,hws_has_ash_and_water,hws_has_water,hws_has_nothing,handwash_after_toilet,handwash_before_eating,handwash_before_cooking,handwash_after_waste,handwash_after_cleaning,handwash_other,handwash_other_specify ,hygiene_practices_improved,hygiene_improvement_desc,flood_damage_decreased,flood_decrease_desc,flood_prep_actions,flood_prep_other,canal_desilt_helped,,activities_still_useful,useful_interventions,useful_access_kiosks,useful_latrines_sanitization,useful_training,useful_flood_awareness,useful_committees,useful_other,why_not_useful,most_positive_intervention,remaining_challenges,most_important_change,life_different_if_no_project
Tom Ocharo,Kokech,Male ,,Yes,Yes,36-59 years (Adult),Farming,,"20,001 and Above",Yes,Open wells in homesteads,,Yes,Yes,30,Yes,No,Far away from us ,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Sinkable ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Because of hygiene education ,Yes,Desilting of canals enable water to flow faster ,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Improved hygiene ,"Less water kiosk, continuous sanitation hygiene and desilting of canals ",Reduced  water borne diseases ,No
Mollet Atieno,Kokech,Male ,,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Presence of clean water in the community has improved lifestyle,Yes,Reduced soil erosion,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Water project that has helped reduce diarheal cases,Can't access due to long distance,"Reduced waterborne diseases cases

",No
Janet Wesonga,Kabong'o,Female,Yes,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Overflow.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Good health.,Yes,Crop damage.,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Flood preparedness awareness,1,1,0,1,0,0,,Good health.,Are not enough.,Clean water.,No
Mollet Atieno,Kokech,Male ,,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Presence log clean water has helped reduce diarheal illness,Yes,Soil erosion has decreased,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Clean water access to thecommunity,Can't access due to far distance,Reduced stomach illness,No
Eveline Adhiambo Otieno ,Kagola West,Male ,,Yes,Don't know,60+ years (Elderly),Farming,,"0 - 10,000",Yes,"Others, specify ",From my Sons homestead ,Yes,No,,,With difficulty ,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during rainy seasons ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,0,0,,Yes,Improved hygiene practices ,Yes,Desilted canals has reduced floods ,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Flood preparedness awareness Hygiene education / training,1,1,1,1,0,0,,Hygiene education and training ,Lack of properly built canals,Improved hygiene skills ,Not Sure
Samuel Muga,Kogola East,Male ,,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,Protected public wells ,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,During heavy rains water gets into the pit causes damage to the structure ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,1,0,,Yes,"I normally clean my compound, maintain hand washing facility ",Yes,Too much of rain water gets into my house and farms,Store water/food ,,Not sure,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Hygiene and sanitation training ,The distance from the kiosk is becoming a problem to family members ,Knowledge on hygiene and sanitation has made me stay away from infection and waterborne diseases ,No
Tom Ocharo,Kokech,Male ,,No,,36-59 years (Adult),"Other, Specify",Pension,"0 - 10,000",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Sinkable ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Hygiene education ,Yes,Desilting of canals provide good drainage,Store water/food ,,Yes,,Yes,"Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",0,1,1,1,1,0,,Improved sanitation ,"Less water kiosk, continuous sanitation training and perpetual desilting ",Improved hygiene hence reduce stomach diseases ,No
Mollet Atieno,Kokech,Male ,,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Clean water to the community members,Yes,Reduced soil erosion,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Hygiene education has reduced stomach illness,Can't access due to long distance,Reduced stomach illness,No
Judith Onyango,Borda,Male ,,Yes,Yes,60+ years (Elderly),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,1,Yes,Yes (ramps/handrails) ,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Too much water coming over the floor and insect also come.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,0,0,0,,Yes,Expose some areas about hygiene that he doesn't know so know he has improved.,Yes,Flood reduce ,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Access clean water that is a cheapest price .,To continue creating awareness about hygiene , Access clean water and communicable reduce ,No
Andericus Oguma,Kaswa,Female,No,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,Piped HFHK Water,,Yes,Yes,2,No,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during flood,No,Yes,,Yes,Soap and water,1,0,0,0,0,1,1,0,0,0,,Yes,Rate of diseases reduced,Yes,It destroyed crops,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Hygiene education / training,1,0,1,0,0,0,,Have safe water and trained hygiene,We need more canals to prevent flood,Access to water easily,No
Tom Akumu,Kabong'o,Female,Yes,No,,60+ years (Elderly),"Other, Specify",Get assistance from my children ,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during fooding ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,0,0,,Yes,Improved hygiene ,Yes,Most of my farms have not been affected floods ,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Flood preparedness awareness,1,1,0,1,0,0,,Access to clean water ,Lack of enough canals ,Improved hygiene ,No
Joy Dawince Otieno,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It's not permanent latrine,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,0,1,0,,Yes,No water borne diseases,Yes,It's affected crops on the farm,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Improved on hygiene skills,More canals are required,No water borne diseases,No
Andericus Oguma,Kagola West,Female,No,No,,18-35 years (Youth),Farming,,"10,001 - 20,000",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during flood season ,No,Yes,,Yes,Soap and water,1,0,0,0,0,1,1,0,0,0,,Yes,Because we are washing our hands to prevent germs ,Yes,Reduce production ,Store water/food ,,Yes,,Yes,Hygiene education / training Improved sanitation facilities,0,1,1,0,0,0,,Improve in hygiene ,We need water taps closer ,Trained how to wash our hands ,No
Mollet Atieno,Kokech,Female,Yes,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,Yes,1,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Clean water access by the community members,Yes,Crops damaged has reduced,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Hygiene education has reduced stomach illneses,Can't access due to long distance,Clean water provision to the community members,No
Samuel Muga,Kogola East,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,"During heavy rains, water gets into the pit causing it to crave in ",No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Less cases of waterborne diseases like typhoid ,Yes,Too much rainfall leads to stagnant water which later destroy crops ,Store water/food ,,Not sure,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Hygiene and sanitation training.... secondly Access to clean water even though am not using it everyday,"The distance from the kiosk is far, making it difficult for us to fetch water ",Less cases of diseases ,No
Tom Ocharo,Kokech,Male ,,Yes,Yes,36-59 years (Adult),Farming,,"20,001 and Above",Yes,Open wells in homesteads,,No,Yes,30,Yes,No,Located far away,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Sinkable,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Because of Hygiene education,Yes,Desilting of canals provide efficient water flow,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Improved hygiene and drainages,"Fewer water points, continuous hygiene training and perpetual desilting",Improved hygiene and desilting,No
Eveline Adhiambo Otieno ,Kagola West,Female,Yes,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It gets full of water during rainy seasons or floods ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Better living standards due to increased knowledge ,Yes,Improved desilted canals which were built has helped reduce floods ,Store water/food ,,Yes,,Yes,Hygiene education / training Improved sanitation facilities Access to clean water points (Kiosks) Flood preparedness awareness,1,1,1,1,0,0,,Hygiene education and training ,Lack of enough water kioks ,Improved hygiene skills and practices ,No
Janet Wesonga,Kabong'o,Male ,,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,1,0,,Yes,Hygiene improvement.,Yes,Decilted canals reduced the flood.,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Flood preparedness awareness Hygiene education / training,1,1,1,1,0,0,,Hygiene improvement.,Less latrines and kiosks.,Good health.,No
Judith Onyango,Borda,Male ,,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Because it can collapse.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,No diseases such as cholera.,No,,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Yes because no diseases has reduced and clean water is always available , The digging of canals has not done better , Access of clean water and communicable diseases reduce ,No
Joy Dawince Otieno,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It's not permanent latrine ,No,Yes,,Yes,Soap and water,1,0,0,0,1,0,0,1,1,0,,Yes,No water borne diseases ,Yes,It's affected crops on the farm ,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Improved sanitation facilities ,More canals are required ,No water borne diseases ,No
Tom Akumu,Kabong'o,Female,No,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,0,0,,Yes,Using safe water ,Yes,No major flooding ,Use early warnings ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Access to clean water ,Lack of enough hand washing materials ,Using safe water ,No
Mollet Atieno,Kokech,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,Yes,1,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It collapses with heavy rains,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Clean water to the community members,Yes,Soil erosion has decreased ,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Clean water has reduced stomach illness,"Can't access due to long distance,then you only use when you pay",Reduction stomach illness,No
Samuel Muga,Kogola East,Male ,,No,,36-59 years (Adult),Casual Labour,,"10,001 - 20,000",Yes,Protected public wells ,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Excess rain water gets into the pit and weakens the structure,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,"We have maintained cleaning our compound, installed hand washing containers",Yes,Stagnant rain water destroy crops,Use early warnings ,,Not sure,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Hygiene and sanitation training,"Kiosk is far from my home, the cost of connecting this water from the main pipeline is high","Less cases of waterborne diseases, this is due to education from the CHVs",No
Andericus Oguma,Kagola West,Female,No,No,,36-59 years (Adult),Trade,,"10,001 - 20,000",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during flood ,No,Yes,,Yes,Soap and water,1,0,0,0,0,1,1,0,0,0,,Yes,Don't diseases because our hands are clean ,Yes,Destroyed crops ,Store water/food ,,Yes,,Yes,Hygiene education / training Improved sanitation facilities,0,1,1,0,0,0,,Hygiene improved ,We still want more water taps closer ,Hygiene practices help us alot,No
Elizabeth Anyango,Borda,Male ,,No,,36-59 years (Adult),Casual Labour,,"10,001 - 20,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No, It easy to sink during flood.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,It reduces communicable diseases ,No,,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Access the clean water ,They should be continued digging of the canal up to the river ,Access the clean water and communicable reduce also flood reduce ,No
Joy Dawince Otieno,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It's not permanent latrine,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,1,0,,Yes,It's reduced flooding within the area,Yes,It's affected crops on the farm,Store water/food ,,Yes,,Yes,"Improved sanitation facilities Hygiene education / training Flood preparedness awareness Access to clean water points (Kiosks) Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Improved sanitation facilities,More canals are required,No water borne diseases,No
Andericus Oguma,Kagola West,Male ,,No,,60+ years (Elderly),Farming,,"10,001 - 20,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,No,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during flood season ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,0,0,0,,Yes,Reduce death rate in our area ,Yes,It destroying crops ,Use early warnings ,,Yes,,Yes,Access to clean water points (Kiosks) Hygiene education / training,1,0,1,0,0,0,,Improve hygiene and access to water ,We still need more canals ,Access to soft and clean water ,No
Samuel Muga,Kogola East,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,"Rain water infiltrate into the pit, resulting to structural destruction ",No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,We have enough knowledge on how to go about hygiene and sanitation issues ,Yes,Rain water stands for along time resulting to crop damage ,Use early warnings ,,No,,Yes,Hygiene education / training Improved sanitation facilities Access to clean water points (Kiosks) Flood preparedness awareness,1,1,1,1,0,0,,"Clean water even though am not using it currently, quality of that water is high ",The distance is quite far from the kiosk making it difficult to fetch water ,"Upto now, I would say it's hygiene and sanitation training. ",No
Tom Akumu,Kabong'o,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Using safe water ,Yes,There more drainage system around my home,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Hygiene education / training Improved sanitation facilities Flood preparedness awareness,1,1,1,1,0,0,,Flood preparedness ,Lack of hand washing materials ,Improved hygiene ,No
Mollet Atieno,Kokech,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,1,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Accessible clean water around,Yes,Reduced soil erosion,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Hygiene education has reduced stomach illnesses,"When solar isn't there,no access",Clean treated water,No
Janet Wesonga,Kabong'o,Male ,,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Overflow.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Clean water reduces water born deseases.,Yes,Through training I've attained skills on how prevent.,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs) Hygiene education / training",1,1,1,1,1,0,,Hygiene improvement,Are not enough.,Good health.,No
Judith Onyango,Borda,Male ,,No,,36-59 years (Adult),Salaried Employed,,"20,001 and Above",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,,,Improved Pit Latrine (a latrine with a proper slab and cover to safely separate excreta from human contact),,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Improvement of hygiene .,No,,Use Protect latrines ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Improve of sanitation and access the clean water ,Sometime there is no water in the top ,Easily to fetch water and communicable reduce.,No
Joy Dawince Otieno,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It's not permanent latrine,No,Yes,,Yes,Soap and water,1,0,0,0,1,0,0,1,1,0,,Yes,Improved hygiene skills,Yes,It's affected crops and homestead utensils,Use early warnings ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Improved sanitation facilities,More canals are required,It's reduced flooding and water borne diseases,No
Mollet Atieno,Kokech,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Clean water access to the community,Yes,Soil erosion has decreased,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Access to clean drinking water,You only use when you pay,Reduced stomach illnesses,No
Tom Akumu,Kabong'o,Female,Yes,No,,36-59 years (Adult),Casual Labour,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during rainy season ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Drinking safe water ,Yes,Sinks my toilet ,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Improved sanitation ,Sinking of toilet ,Improved sanitation ,No
Tom Ocharo,Kokech,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,50,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Sinkable ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Because of hygiene training ,Yes,Desilting of the canals provide good water flow ,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Active community committees (e.g., WRUAs / WPCs) Flood preparedness awareness",1,1,1,1,1,0,,Improved sanitation ,"Fewer water kiosk, continuous hygiene and desilting of canals ",Improved sanitation ,No
Wycliffe Osalo,Kagola West,Female,Yes,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Rain water gets into the pit resulting to structural destruction ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,"She told us to put a hand washing facility,  clean the compound, critical times to wash hands ",Yes,"Excess rain water, gets into the house, and farms",Other,There's nothing I can do because my mud house is built on a flat place. This place cannot direct water to a lowland.,No,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,"Currently no intervention because 
1. Kiosk is far away from me
2. I wasn't built a flood resilient latrine 
3. Desilted canals are faraway from my home. ",Distance from the kiosk is the major challenge ,"No positive change so far, but hopefully I will start experiencing when the services reaches me or come near to me ",No
Judith Onyango,Borda,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Piped HFHK Water,,Yes,Yes,1,Yes,,,Improved Pit Latrine (a latrine with a proper slab and cover to safely separate excreta from human contact),,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,It reduces communicable such as diarrhea ,No,,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Hygiene education / training Improved sanitation facilities,1,1,1,0,0,0,,Water access ,Extension  of piped water,Good health,No
Mollet Atieno,Kokech,Male ,,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Access to clean water have changed lifestyle,Yes,Soil erosion have decreased,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Clean water access,Can't access due to long distance,Stomach related illnesses have reduced ,No
Janet Wesonga,Kabong'o,Female,Yes,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Good health .,Yes,Decilted canals reduced flood.,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Flood preparedness awareness Improved sanitation facilities Hygiene education / training Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Good hygiene.,They are less.,Access to clean water.,No
Wycliffe Osalo,Kagola West,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,"Water gets into the pit weakening the structure, later it breaks down ",No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,General hygiene standards have been improved eg hand washing containers installed ,Yes,Rain way becomes stagnant resulting to crop damage ,Use early warnings ,,Not sure,,Yes,Hygiene education / training Improved sanitation facilities Access to clean water points (Kiosks) Flood preparedness awareness,1,1,1,1,0,0,,Currently no serious positive impact because we are very far from the kiosk ,Distance from the kiosk ,"Currently No, We are far away from the kiosk ",No
Joy Dawince Otieno,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It's not permanent latrine,No,Yes,,Yes,Soap and water,1,0,0,0,0,0,0,0,1,0,,Yes,Improved on hygiene skills,Yes,It's affected crops on the farm,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Improved sanitation facilities,More canals are still required,It's reduced flooding within the area and water borne diseases,No
