enumerator,village,gender_hh,widow_single_mother,pwd,pwd_involved_planning,age_group,livelihood,livelihood_other,income_band,aware_hfhk,water_l_per_day,kiosk_use_frequency,time_fetch_before,time_fetch_now,time_change,time_change_reasons,time_reason_closer,time_reason_shorter_queue,time_reason_reduced_cost,time_reason_improved_quality,time_reason_other,time_reason_other_specify,women_less_time_fetch,women_time_for ,women_time_income,women_time_childcare,women_time_school,women_time_chores,women_time_rest,women_time_other,women_time_other_specify,income_increased,income_increase_where,income_increase_farming,income_increase_small businesses ,income_increase_maintenance_jobs ,income_increase_education ,income_increase_health ,income_increase_livestock ,income_increase_other,income_increase_other_specify,water_quality_change,borehole_functional,borehole_functional_reason,borehole_breakdowns,breakdown_frequency,committees_meeting,reduced_conflicts,reduced_conflicts_describe,10. Who is currently responsible for repairs and maintenance of:,repairs_water,repairs_latrines,repairs_canals,user_fees_effective,community_sustain_without_support,hfkh_latrine_use,latrine_satisfaction,latrine_functional_during_flood,latrine_issue_text,hfkh_latrine_use_frequency,girls_comfortable_using_latrine_night,women_latrine_use_night_and_floods,rare_latrine_use_night_and_floods_desc,place_to_wash_hands,water_available_at_hws,soap_available_today,when_wash_hands,when_wash_hands_after_defecation,when_wash_hands_after_handling child_adultfeces,when_wash_hands_after_cleaning_environment,when_wash_hands_before_preparing_food,when_wash_hands_before_eating_food,5. How often do you wash your hands at the following times? ,after_defecation_handwash_often,before_eating__handwash_often,before_preparing_food_handwash_often,after_cleaning_environment_handwash_often,after_handling child_adult feces_handwash_often,phast_training,who_attended,who_attended_adult_women,who_attended_adult_men,who_attended_children,who_attended_youth,who_attended_other,Other,practices_started,practices_started_wash_with_soap_after_defecation,practices_started_wash_with_soap_before_eating,practices_built_improved_latrine,practices_treat_drinking_water,practices_store_water_safe,practices_use_squat_hole_cover,practices_keep_latrine_clean,practices_handwashing_station,practices_safe_child_feces,practices_other,Other (please specify),hygiene_training_reduced_illness,hygiene_change_desc,why_training_has_no_impact,any_water_related_illnesses_still_experienced,which_illness,still_using_practices,no_explain_why,some_explain_why,diarrhea_past_2wks,feel_safer_accessing,flood_prep_actions_stored_water,flood_prep_actions_raised_belongings,flood_prep_actions_raise_latrine,flood_prep_actions_dug_cleared,flood_prep_actions_dug_cleared,flood_prep_actions_evac_plan,flood_prep_actions_planted_trees,flood_prep_actions_none,flood_prep_actions_other,Other Specify ,aware_canal_desilting,participated_awareness_sessions,2a. Did youth (15-35 years) participate in the following project activities?,youth_participation_training,youth_participation_canal_work,youth_participation_committees,youth_participation_construction,2b. Where in this project has skills or leadership roles for youth been created (Jobs),youth_jobs_roles_water_committee,youth_jobs_maintenance,youth_jobs_hygiene_trainers,youth_jobs_none,youth_jobs_not_sure,usefulness_awareness_sessions,canal_works_helped_reduce_flooding,community_committee_maintains_canals ,community_committee_still_active ,household_member participated_canal_maintenance,have_desilted_canals_and_embankments_reduced_flooding,effective_desilted_canals_and_embankments_reducing_floods,household_prepared_for_seasonal_flooding,canal_buffers_surviving_improved_environment,canal_trees_helped_how,reliable_water_help_income,,,home_affected_by_flood_last_year,what_kind_of_damage,flood_damage_property,flood_damage_crop_loss,flood_damage_contamination,flood_damage_latrine_collapse,flood_damage_other,flood_damage_other_specify,what_to_do_before_flood,flood_pre_warnings_received,flood_warning_from,flood_warning_from_canal_committee,flood_warning_from_village_head,flood_warning_from_government_official,flood_warning_from_sms_radio,flood_warning_from_other,village_better_protected,flood_warning_from_other_specify,distance_in_meters
Janet Wesonga,Kabong'o,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,>100 litres,Daily,30–60 min ,<30 min,Less,Closer water source Shorter queues,1,1,0,0,0,,Yes,Income generating activities  Childcare  School attendance (especially girls)  Household chores  Rest/Leisure ,1,1,1,1,1,0,,Yes,Farming/fishing yields   Health  Livestock ,1,0,0,0,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Distance reduced,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women,1,0,0,0,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,0,1,1,0,1,1,1,0,,Yes,Less Movement to the hospital .,,No,,Yes,,,No,Much less safe ,Stored food/water in advance Raised household belongings  Built/raised latrine above ground Dug or cleared drainage/canals,1,1,1,1,0,0,0,0,,Yes,Yes,,Yes,Yes,No,Yes,Hygiene trainers  Maintenance jobs ,0,1,1,0,0,Somewhat usefu,Somewhat,Yes,Yes,Yes, Somewhat ,Somewhat effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss Water source contamination Latrine collapse,1,1,1,1,0,,"Store food, raise properties",Yes,Canal Committee SMS/radio,1,0,0,1,0,Somewhat better protected,,436.8
Andericus Oguma,Kaswa,Female,Yes,No,,36-59 years (Adult),Trade,,"0 - 10,000",Yes,51–100 litres ,Rarely,30–60 min ,<30 min,Less,Shorter queues Improved quality ,0,1,0,1,0,,Yes,Income generating activities  Rest/Leisure  Household chores ,1,0,0,1,1,0,,Yes, Health  Livestock ,0,0,0,0,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Water is available all the time,,Water Committee,Water Committee,Water Committee,Yes,Yes,Yes, Very Satisfied,Yes,,Yes,Yes,Always,,Yes,Yes,Yes,After defecation After cleaning the environment Before eating food Before preparing food,1,0,1,1,1,,Sometimes ,Often,Sometimes ,Often,Often,Yes,Adult women,1,0,0,0,0,,"Wash hands with soap after defecation Treat drinking water (e.g., boiling, chlorination) Built or improved household latrine",1,0,1,1,0,0,0,0,0,0,,Yes,No sickness every time,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings Planted trees along canals,1,1,0,0,0,1,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Water committee roles  Hygiene trainers ,1,0,1,0,0,Very useful,Somewhat,Yes,Yes,No, Somewhat ,Somewhat effective,Yes,Less erosion ,Less erosion ,Fewer workdays lost ,,,Yes,Property damage Crop loss,1,1,0,0,0,,To make canals around my farms,Yes,SMS/radio Government official,0,0,1,1,0,Somewhat better protected,,708.48
Joy Dawince Otieno,Kabong'o,Female,Yes,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,20–50 litres ,Daily,<30 min ,<30 min,Less,Closer water source Reduced cost,1,0,1,0,0,,Yes,Household chores  Rest/Leisure ,0,0,0,1,1,0,,Yes,Farming/fishing yields  Small businesses ,1,1,0,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,There is no long queueing,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom Before preparing food,1,1,0,1,0,,Often,Often,Often,Often,Often,Yes,Adult women Adult men,1,1,0,0,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination)",1,1,0,1,0,0,0,0,0,0,,Yes,Less deseases,,No,,Yes,,,No,Much safer,Stored food/water in advance Dug or cleared drainage/canals Planted trees along canals,1,0,0,1,0,1,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Water committee roles ,1,0,0,0,0,Very useful,"Yes, significantly",Yes,Yes,No,"Yes, significantly ",Very Effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Crop loss,0,1,0,0,0,,Make a small canal on farm,Yes,SMS/radio Canal Committee,1,0,0,1,0,Much better protected,,13.45
Mollet Atieno,Kokech,Male ,,Yes,Yes,36-59 years (Adult),Farming,,"0 - 10,000",Yes,51–100 litres ,Never,<30 min ,<30 min,Same,,,,,,,,Yes,Income generating activities  Childcare  School attendance (especially girls)  Household chores  Rest/Leisure ,1,1,1,1,1,0,,Yes,Farming/fishing yields  Small businesses  Education   Health  Livestock ,1,1,0,1,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,"Reduced overcrowding,reduction of diarheal illnesses",,Water Committee,Water Committee,Water Committee,Yes,No,No,,,,,,Always,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,1,1,1,1,1,1,1,0,,Yes,Reported of zero diarrhea cases in the past epidemi,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings  Built/raised latrine above ground Planted trees along canals Dug or cleared drainage/canals  Developed evacuation plan,1,1,1,1,1,1,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Somewhat effective,No,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss Latrine collapse,1,1,0,1,0,,Nothing,Yes,Canal Committee Village Head,1,1,0,0,0,Somewhat better protected,,213.67
Elizabeth Anyango,Borda,Male ,,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,51–100 litres ,Never,<30 min ,<30 min,Same,,,,,,,,No,,,,,,,,,Yes, Health  Education ,0,0,0,1,1,0,0,,No change ,Yes,,Yes,Rarely (once every few months) ,Yes,No,,,Water Committee,Water Committee,Water Committee,Don’t know,Not sure,No,,,,,, Rarely ,Because it can sink any time during the flood ,Yes,Yes,Yes,After defecation After cleaning the environment Before preparing food Before eating food,1,0,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Youth,1,1,0,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Practice safe disposal of child feces Constructed or use a handwashing station (e.g., tippy tap)",1,1,1,1,1,1,1,1,1,0,,Yes,It reduce diseases ,,No,,Yes,,,No,No change ,Stored food/water in advance  Developed evacuation plan  Built/raised latrine above ground Dug or cleared drainage/canals,1,0,1,1,1,0,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Hygiene trainers  Water committee roles ,1,0,1,0,0,Somewhat usefu,No change,Yes,Yes,No, Somewhat ,No change,Yes,Less erosion ,Less erosion ,No effect,,,No,,,,,,,,,Yes,SMS/radio Government official Village Head,0,1,1,1,0,No change,,749.1
Eveline Adhiambo Otieno ,Kagola West,Male ,,No,,36-59 years (Adult),Salaried Employed,,"20,001 and Above",Yes,20–50 litres ,Never,<30 min ,<30 min,Same,,,,,,,,Yes,Income generating activities  Household chores  Rest/Leisure ,1,0,0,1,1,0,,Yes,Other,0,0,0,0,0,0,1,Reduced floods has led to more farm yields,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,"Reduced long distance while fetching water 
Reduced overcrowding at one public water point",,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Always,,Yes,Yes,Yes,After defecation After cleaning the environment Before eating food,1,0,1,0,1,,Often,Often,Often,Often,Often,Yes,Adult women,1,0,0,0,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,0,1,0,1,1,1,1,0,,Yes,"Improved skills on feaces disposal,environmental consevation",,No,,Yes,,,No,Much safer,Raised household belongings  Built/raised latrine above ground Stored food/water in advance,1,1,1,0,0,0,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Maintenance jobs  Hygiene trainers  Water committee roles ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,No,"Yes, significantly ",Very Effective,Yes,Better flood control ,Less erosion ,Farming/fishing improved ,,,No,,,,,,,,,Yes,SMS/radio,0,0,0,1,0,Somewhat better protected,,642.43
Joy Dawince Otieno,Kabong'o,Male ,,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,51–100 litres ,Rarely,<30 min ,<30 min,Same,,,,,,,,No,,,,,,,,,Yes,Farming/fishing yields  Small businesses ,1,1,0,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,They reduced through making canals,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,Before preparing food After cleaning the environment After handling child/adult feces or cleaning child's bottom Before eating food,0,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women,1,0,0,0,0,,"Wash hands with soap after defecation Store water safely in clean, covered containers Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Wash hands with soap before eating or preparing food",1,1,0,0,1,0,1,1,0,0,,Not sure,,,No,,Yes,,,No,Much less safe ,Stored food/water in advance Planted trees along canals,1,0,0,0,0,1,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Hygiene trainers ,1,0,1,0,0,Very useful,"Yes, significantly",Yes,Yes,No,"Yes, significantly ",Very Effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Crop loss,0,1,0,0,0,,To make good canals ,Yes,SMS/radio Canal Committee,1,0,0,1,0,Much better protected,,113.13
Andericus Oguma,Kaswa,Male ,,Yes,Yes,36-59 years (Adult),"Other, Specify",Get from families and well-wishers ,"0 - 10,000",Yes,51–100 litres ,Never,30–60 min ,30–60 min ,Same,,,,,,,,No,,,,,,,,,No, Health  Livestock ,0,0,0,0,1,1,0,,No change ,Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Because water is available in the kiosks,,Water Committee,Water Committee,Water Committee,Yes,Yes,Yes, Very Satisfied,Yes,,Yes,Yes,Always,,No,,,Before preparing food Before eating food,0,0,0,1,1,,Sometimes ,Often,Often,Sometimes ,Often,Yes,Adult women,1,0,0,0,0,,Wash hands with soap after defecation Wash hands with soap before eating or preparing food,1,1,0,0,0,0,0,0,0,0,,Yes,We know time to wash our hands,,Yes,Malaria,Yes,,,No,Much safer,None,0,0,0,0,0,0,1,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs ,1,1,0,0,0,Very useful,"Yes, significantly",Yes,Yes,No,"Yes, significantly ",Somewhat effective,No,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Crop loss Water source contamination,0,1,1,0,0,,Dig canals around our farms,Yes,SMS/radio Village Head,0,1,0,1,0,Somewhat better protected,,600.88
Mollet Atieno,Kokech,Female,Yes,Yes,Yes,60+ years (Elderly),Farming,,"0 - 10,000",Yes,51–100 litres ,Daily,30–60 min ,<30 min,Less,Closer water source,1,0,0,0,0,,Yes,Income generating activities  Childcare  School attendance (especially girls)  Rest/Leisure  Household chores ,1,1,1,1,1,0,,Yes,Farming/fishing yields  Paid maintenance jobs  Education   Health  Livestock  Small businesses ,1,1,1,1,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,The water kiosk is centrally placed that serves many people,,Water Committee,Water Committee,Water Committee,Yes,Not sure,Yes, Very Satisfied,Yes,,Yes,Yes,Always,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,1,1,1,1,1,1,1,0,,Yes,Zero cholera cases,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings  Built/raised latrine above ground Dug or cleared drainage/canals  Developed evacuation plan Planted trees along canals,1,1,1,1,1,1,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,No,"Yes, significantly ",Very Effective,Yes,Better flood control ,Less erosion ,Farming/fishing improved ,,,No,,,,,,,,,Yes,Canal Committee Village Head,1,1,0,0,0,Much better protected,,438.42
Mollet Atieno,Kokech,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,51–100 litres ,Daily,30–60 min ,<30 min,Less,Closer water source Shorter queues Reduced cost Improved quality ,1,1,1,1,0,,Yes,Income generating activities  Childcare  School attendance (especially girls)  Household chores  Rest/Leisure ,1,1,1,1,1,0,,Yes,Farming/fishing yields  Paid maintenance jobs  Education   Health  Livestock  Small businesses ,1,1,1,1,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Reduced overcrowding,,Water Committee,Water Committee,Water Committee,Yes,No,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Practice safe disposal of child feces Wash hands with soap before eating or preparing food Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap)",1,1,1,1,1,1,1,1,1,0,,Yes,Reduction of diarheal illneses,,No,,Yes,,,No,Much less safe ,Stored food/water in advance Raised household belongings  Built/raised latrine above ground Dug or cleared drainage/canals  Developed evacuation plan Planted trees along canals,1,1,1,1,1,1,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,No,"Yes, significantly ",Very Effective,Yes,Better flood control ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss Water source contamination Latrine collapse,1,1,1,1,0,,Store more food,Yes,Canal Committee Village Head,1,1,0,0,0,Somewhat better protected,,295.84
Samuel Muga,Kogola East,Female,No,No,,36-59 years (Adult),Farming,,"20,001 and Above",Yes,>100 litres,Daily,<30 min ,<30 min,Less,Closer water source,1,0,0,0,0,,Yes,Childcare  Income generating activities  School attendance (especially girls) ,1,1,1,0,0,0,,Yes,Farming/fishing yields ,1,0,0,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Long queues have been reduced,,Water Committee,Don't know,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Youth Adult men,1,1,0,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Store water safely in clean, covered containers Keep latrine and surrounding area clean",1,1,1,0,1,0,1,0,0,0,,Yes,The spread of germs gave significantly reduced and so does cholera,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Somewhat usefu,"Yes, significantly",Yes,Yes,No,"Yes, significantly ",Very Effective,Yes,Damaged,Better drainage ,Farming/fishing improved ,,,No,,,,,,,,,Not sure,,,,,,,Somewhat better protected,,26.87
Tom Ocharo,Kokech,Female,No,No,,36-59 years (Adult),Trade,,"0 - 10,000",Yes,>100 litres,Never,>1 hour,>1 hour,Same,,,,,,,,No,,,,,,,,,No,Other,0,0,0,0,0,0,1,None,No change ,Yes,,No,,Yes,Yes,Floods during rainy season has reduced drastically as well as conflict for people rearing animal because of animal water trough which was contracted by habitat,,Water Committee,Don't know,County Government,Yes,Only with partial support,No,,,,,,,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Keep latrine and surrounding area clean Use a squat hole cover or toilet seat Practice safe disposal of child feces",1,1,0,1,1,1,1,0,1,0,,Yes,We don't visit the Hospital frequently as before because of hygiene education,,No,,Yes,,,No,No change ,Stored food/water in advance Dug or cleared drainage/canals,1,0,0,1,0,0,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Damaged,No change,No effect,,,No,,,,,,,,,Yes,Government official SMS/radio,0,0,1,1,0,Much better protected,,287.96
Tom Ocharo,Kokech,Male ,,No,,60+ years (Elderly),"Other, Specify","None ,He has retired","0 - 10,000",Yes,>100 litres,Daily,<30 min ,<30 min,Same,,,,,,,,Yes,School attendance (especially girls)  Household chores ,0,0,1,1,0,0,,No,Other,0,0,0,0,0,0,1,None,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,we have cattle water trough which saves us well,,Water Committee,Don't know,County Government,Yes,Yes,No,,,,,,,,Yes,Yes,Yes,After defecation After cleaning the environment Before preparing food Before eating food After handling child/adult feces or cleaning child's bottom,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Keep latrine and surrounding area clean Practice safe disposal of child feces",1,1,1,1,1,0,1,0,1,0,,Yes,Family members rarely visit the hospital because of stomach diseases,,No,,Yes,,,No,Much safer,Stored food/water in advance,1,0,0,0,0,0,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Damaged,No change,No effect,,,No,,,,,,,,,Yes,Government official SMS/radio,0,0,1,1,0,Much better protected,,116.45
Janet Wesonga,Kabong'o,Male ,,No,,18-35 years (Youth),Trade,,"0 - 10,000",Yes,>100 litres,Daily,30–60 min ,<30 min,Less,Closer water source,1,0,0,0,0,,Yes,Income generating activities ,1,0,0,0,0,0,,Yes,Small businesses  Paid maintenance jobs  Livestock   Health ,0,1,1,0,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Shorter distance.,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation Before eating food After cleaning the environment,1,0,1,0,1,,Often,Often,Sometimes ,Often,Sometimes ,Yes,Youth,0,0,0,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,1,1,0,1,1,1,1,0,,Yes,Less money to treat deseases,,No,,Yes,,,No,Much less safe ,Stored food/water in advance Raised household belongings  Built/raised latrine above ground Dug or cleared drainage/canals,1,1,1,1,0,0,0,0,,Yes,Yes,,Yes,Yes,No,Yes,Maintenance jobs  Hygiene trainers ,0,1,1,0,0,Somewhat usefu,Somewhat,Yes,Yes,Yes, Somewhat ,Somewhat effective,Yes,Less erosion ,Less erosion ,Fewer workdays lost ,,,Yes,Latrine collapse Water source contamination Property damage,1,0,1,1,0,,Clear drainage,Yes,Canal Committee Government official SMS/radio,1,0,1,1,0,Somewhat better protected,,506.57
Joy Dawince Otieno,Kabong'o,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,51–100 litres ,1–2 times/week ,30–60 min ,30–60 min ,Same,,,,,,,,Not Sure,,,,,,,,,Yes,Farming/fishing yields  Small businesses ,1,1,0,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,It's improved good canals,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,Before preparing food After cleaning the environment After handling child/adult feces or cleaning child's bottom Before eating food,0,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women,1,0,0,0,0,,"Wash hands with soap after defecation Treat drinking water (e.g., boiling, chlorination) Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Wash hands with soap before eating or preparing food",1,1,0,1,0,0,1,1,0,0,,Not sure,,,No,,Yes,,,No,Much less safe ,Stored food/water in advance Planted trees along canals,1,0,0,0,0,1,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Crop loss,0,1,0,0,0,,"Maintenance of canals 
Making drainage",Yes,SMS/radio Canal Committee,1,0,0,1,0,Much better protected,,236.69
Samuel Muga,Kogola East,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,>100 litres,Rarely,<30 min ,<30 min,Same,,,,,,,,Not Sure,,,,,,,,,No,Other,0,0,0,0,0,0,1,I don't access the project water so it's not helping me for now,No change ,Yes,,No,,Yes,Yes,"In some parts floods have significantly reduced, but in my area I still experience flooding when it rains heavily",,Water Committee,Water Committee,Water Committee,Don’t know,Not sure,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Youth Adult men,1,1,0,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,0,1,0,0,1,1,1,0,,Yes,"Hygiene standards have gone up significantly, my children nowadays wash their hands at critical times, thi has reduced chances of cholera outbreak.",,No,,Yes,,,No,No change ,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Maintenance jobs  Hygiene trainers  Water committee roles ,1,1,1,0,0,Somewhat usefu,Somewhat,Not sure,,No, Somewhat ,Somewhat effective,No,Damaged,No change,No effect,,,Yes,Property damage Crop loss Latrine collapse Water source contamination,1,1,1,1,0,,"Keep house property including food at a raised place. 
Keep water for drinking safe",No,,,,,,,Somewhat better protected,,476.18
